Exercise,URL,Description
,,
,,
Exercise,,Instructions
90/90 Wall Balloon-Breathing,https://vimeo.com/111032082,"1. Hook your heels into the wall with your hamstrings. 2. Tuck your tailbone between your knees. 3. Push your lower back into the floor. 4. Exhale fully, dropping your ribs down as far as they'll go. 5. Inhale without losing the ribs-down position and repeat."
Ab Wheel Iso,https://vimeo.com/111032083,1. Lock your ribs down with your abs. 2. Tuck your tailbone between your knees. 3. Do not let your lower back sag.
Ab Wheel Rollout,https://vimeo.com/111032084,1. Lock your ribs down with your abs. 2. Tuck your tailbone between your knees. 3. Do not let your lower back sag.
Adductor Mobilization,https://vimeo.com/111032085,1. Extend one leg out. 2. Push your hips back to lengthen your adductor. 3. Keep your spine neutral.
Alternating Barbell Split Jump,https://vimeo.com/111032087,"1. Lower so that at the bottom your knees are both around 90 degrees. 2. Don't let your hips open up at the bottom. Keep them squared forward. 3. Drive through your forward heel as you jump, and keep your knee tracked over your toes."
Alternating Bodyweight Split Jump,https://vimeo.com/111032509,"1. Lower so that at the bottom your knees are both around 90 degrees. 2. Don't let your hips open up at the bottom. Keep them squared forward. 3. Drive through your forward heel as you jump, and keep your knee tracked over your toes."
Alternating Dumbbell Bench Press,https://vimeo.com/111032510,"1. Keep your abs locked tightly to prevent spinal rotation. 2. Keep your shoulder blades packed tightly inward and down at the bottom of each rep. 3. Only lower as far as you can without popping your shoulder capsule forward or losing stability, then press back up."
Alternating Dumbbell Curl,https://vimeo.com/111032518,1. Curl the weight without letting your shoulders pop forward. 2. Don't arch your lower back.
Alternating Dumbell Split Jump,https://vimeo.com/111032520,"1. Lower so that at the bottom your knees are both around 90 degrees. 2. Don't let your hips open up at the bottom. Keep them squared forward. 3. Drive through your forward heel as you jump, and keep your knee tracked over your toes."
Alternating Goblet Reverse Lunge With Blocked Knee,https://vimeo.com/111032521,1. Lower so that at the bottom your knees are both around 90 degrees. 2. Don't let your hips open up at the bottom. Keep them squared forward. 3. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 4. Drive upward with your weight rooted through the heel of your forward foot. 5. Keep your knee tracked straight ahead over your toes.
Alternating Lateral Lunge Walk,https://vimeo.com/111032894,1. Lower so that at the bottom your knees are both around 90 degrees. 2. Don't let your hips open up at the bottom. Keep them squared forward. 3. Keep your lower back neutral by pulling your ribs down with your abs and keeping your abs tight. Don't let your back arch. 4. Drive upward with your weight rooted through the heel of your forward foot. 5. Keep your knee tracked straight ahead over your toes.
Anderson Front Squat,https://vimeo.com/111032895,"1. Set the bar at a height that allows you to get into a strong, stable bottom position. 2. Set up tightly in the bottom position with your weight in your heels, your feet straight forward, your knees straight over your little toes and abs braced. 3. Drive the bar upward while maintaining good positioning (knees straight forward, neutral spine, weight through heels."
Assisted Bodyweight Squat to Box,https://vimeo.com/111032898,1. Lock your ribs down with your abs. 2. Keep your feet straight ahead. 3. Push your hips back onto the box. 4. Keep your knees straight out over your toes.
Assisted Lateral Squat,https://vimeo.com/111032900,1. Keep your heel down. 2. Keep your knee pointed straight ahead over your toes. 3. Only lower as far as you comfortably can.
